Date,Distance
2019-07-16,1.61
2019-07-16,1.77
2019-07-14,7.5
2019-07-02,6.34
2019-07-01,7.4
2019-06-30,6.34
2019-06-29,10
2019-06-27,7.32
2019-06-26,4
2019-06-23,9.59
2019-06-22,11.01
2019-06-20,10.01
2019-06-18,7.37
2019-06-16,10.24
2019-06-15,14.82
2019-06-12,6.46
2019-06-11,0.48
2019-06-09,7.01
2019-06-08,14.01
2019-06-02,5.54
2019-06-02,2.29
2019-06-01,8.16
2019-06-01,1.44
2019-05-26,10.29
2019-05-25,4.3
2019-05-25,3.8
2019-05-22,5.04
2019-05-20,4.01
2019-05-16,4.64
2019-05-15,9.48
2019-05-13,6.04
